A2_District	gender resp	age	Head_Household	educ	HH women	HH girls	HH men	HH boys	girls_school	boys_school	marital	residency	income	employment	income_source	A15 CFW	A15 Unconditional cash transfer	A15 Water supply	A15 Training	A15 Hygiene education	A15  Improved sanitation	A15 Agricultural support	A15 GBV support	disabled	disabled_HH	received_cash	persone_sick	B1_own_land	B1_AcresOwned	B3 Maize	B3 Beans	B3 Tomatoes	B3 other	B4 Maize_seeds	B4 Beans_seeds	B4 tomatoes_seeds	B4 other_seeds	B5 Maize_source	B5 Beans_Source	B5 tomatoes_source	B5 Other_source	B7 MaizeAcres	B7 Acres Beans	B7 Acres Tomatoes	B7 Acres Other	B8 MaizeEnough	B8 BeansEnough	B8 tomatoEnough	B8 OtherEnough	B9 Maize_fert	B9 Beans_fert	B9 Tom_fert	B9 other_fert	B15 Maize_fert_AVSI	B15 Bean_fert_AVSI	B15 tomatoes_fert_AVSI	B15 Other_fert_AVSI	B19 Modern agricultural practices	B19 Harvesting and post-harvesting handling	B19 Use of agricultural inputs	B19 Fertilizer application	B19 Soil erosion control	B19 Pest management	B19 Other training	B20_AVSI_equip	Equipment received	B25_FishFarm	C1_AVSI_CFW	D1_received_CT	E1_MainsourceWaterDry	E1_MainsourceWaterRainy	E3_Time_Water_Rainy	E4_Time_Water_Dry	E5_liters_per_day	E6_Boreholes_village	dry jan	dry feb	dry mar	dry apr	dry may	dry jun	dry jul	dry aug	dry sep	dry oct	dry nov	dry dec	E7_Water_treatment_kits	E9_sanitation	E10_people_per_toil	E11_latrines_proj	E12_Women_men_sep	E13_School_toil	E14_Toil_solar	latrines_OK	E15 Before preparing meals	E15 Before serving food	E15 Before eating	E15 Before feeding a baby	E15 After cleaning the baby of the feaces	E15 After using the toilet	E15 After handling garbage	E15 After playing with children	E16_Handwahs_why	E17_wash_with_what	E18_used_toil_lasttime	E19_covidTraning	E20 Jerry can	E20 Soap	E20 towel	E20 Underwear	E20 Nail cutter/clipper	E20 Comb	E21_heard_radio_Hygmess	E22_WasteManagement	feedback_text	category	A3_Village	girls_school_%	boys_school_%	gender HHH	age HHH	HH Total	income_per_member
Kismayo	Female	28	No	No education	1	2	1	3	0	0	Married	Host Community	80	Unemployed	Casual employment	No	No	No	No	No	Yes	No	No	No	No	No	No	No	0.0				0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	60	80	50	0	No	No	No	No	No	No	No	No	No	No	No	Yes	No	Pit latrine	10	No	No	No	No	Yes	No	No	Yes	No	No	No	No	No	To be healthy	Water alone	Yes	No	No	No	No	No	No	No	No	Yes	0	Hygiene/NFI Kits distribution	Daif	0.0	0.0	Male	35	7	11.428571428571429
Kismayo	Male	70	Yes	No education	2	4	2	4	0	0	Other	IDP	60	Self-employed	Aid	No	Yes	No	No	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	24.7105	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Received from AVSI	Received from AVSI	Received from AVSI	0	2.47105	2.47105	2.47105	0.0	No	No	No	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1	1	1	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	HAND SICKLE, SHOVEL & SPADE, AXE, PICKAXE and HOE	No	No	Yes	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	60	120	100	1	No	Yes	No	No	No	No	No	No	No	No	No	No	Yes	Bush (in the open place)	18	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	To be healthy	With water and soap	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	.	Hygiene/NFI Kits distribution	QamQam	0.0	0.0	Male	70	12	5.0
Kismayo	Male	45	Yes	No education	1	3	2	2	0	0	Married	Host Community	90	Unemployed	Casual employment	No	No	No	No	No	Yes	No	No	No	No	No	No	No	0.0				0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	70	90	80	1	No	Yes	No	No	No	No	No	No	No	No	No	No	No	Pit latrine	4	No	No	No	No	Yes	No	No	Yes	No	No	No	No	No	To be healthy	Water alone	Yes	Yes	No	No	No	No	No	No	No	Yes	0	Hygiene/NFI Kits distribution	Daif	0.0	0.0	Male	45	8	11.25
Kismayo	Male	67	Yes	No education	1	5	2	3	4	2	Married	IDP	120	Self-employed	Casual employment	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	12.3553	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Received from AVSI	Received from AVSI	Received from AVSI	0	2.47105	2.47105	2.47105	0.0	Yes	Yes	Yes	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1	1	1	0	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	HAND SICKLE, SHOVEL & SPADE, AXE, PICKAXE and HOE	No	Yes	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	30	60	100	1	No	No	No	No	Yes	No	No	No	No	No	No	No	Yes	Pit latrine	20	Yes	No	No	No	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	To be healthy	With water and soap	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	- I would like to access addition agricultural sector support.	Hygiene/NFI Kits distribution	Daif	0.8	0.6666666666666666	Male	67	11	10.909090909090908
Kismayo	Male	61	Yes	Some secondary	2	5	1	3	1	1	Married	Returnee	120	Self-employed	Casual employment	No	No	No	Yes	Yes	Yes	Yes	No	No	No	No	Yes	Yes	2.47105	No	Yes	No	Watermillon	0	Recycled	0	Recycled	0	Saved from own harvest	0	Saved from own harvest	0.0	1.23553	0.0	1.23553	0	No	0	No	0	Given by relatives/friends	0	Given by relatives/friends	0	0	0	0	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	HAND SICKLE, SHOVEL & SPADE, AXE, PICKAXE and HOE	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	30	30	100	1	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	Pit latrine	10	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	To be healthy	With water and soap	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	.	Hygiene/NFI Kits distribution	Istanbul	0.2	0.3333333333333333	Male	61	11	10.909090909090908
Kismayo	Male	35	Yes	Vocational training	2	1	1	2	1	1	Married	Host Community	250	Self-employed	Land cultivation	Yes	No	No	No	No	No	Yes	No	No	Yes	No	No	Yes	4.0	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1.0	1.0	1.0	0.0	Yes	Yes	Yes	0	Government	Government	Government	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Farming kits	No	No	No	Unprotected dug well	Unprotected dug well	30	60	20	1	No	No	No	No	No	No	No	Yes	Yes	Yes	No	No	No	Pit latrine	6	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Hygiene/NFI Kits distribution	Daif	1.0	0.5	Male	35	6	41.666666666666664
Kismayo	Male	42	Yes	No education	2	3	1	3	1	2	Married	Returnee	100	Self-employed	Casual employment	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	24.7105	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Received from AVSI	Received from AVSI	Received from AVSI	0	2.47105	2.47105	2.47105	0.0	Yes	Yes	Yes	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1	1	1	0	No	No	No	No	No	No	No	Yes	HAND SICKLE, SHOVEL & SPADE, AXE, PICKAXE and HOE	No	Yes	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	60	120	100	1	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	Yes	Pit latrine	13	Yes	No	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	To be healthy	With water and soap	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	.	Hygiene/NFI Kits distribution	Istanbul	0.3333333333333333	0.6666666666666666	Male	42	9	11.11111111111111
Kismayo	Female	27	No	Completed primary	1	2	1	3	1	1	Married	Host Community	165	Self-employed	Land cultivation	No	No	No	No	No	No	Yes	No	No	Yes	No	No	Yes	3.0	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1.0	1.0	1.0	0.0	Yes	Yes	Yes	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1	1	1	0	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Farming kits	No	No	No	Unprotected dug well	Unprotected dug well	20	40	35	1	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	Pit latrine	10	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Respondent said that 'I don't remember exactly how the fertilizers we received was and the time we received but I'm sure that we have received none food items in this year including farming kits	Hygiene/NFI Kits distribution	Daif	0.5	0.3333333333333333	Male	37	7	23.571428571428573
Kismayo	Female	50	No	Completed primary	2	2	1	4	2	2	Widower	Host Community	200	Self-employed	Land cultivation	No	No	No	No	No	No	Yes	No	Yes	No	No	Yes	Yes	4.0	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Government	Government	Government	0	1.0	1.0	1.0	0.0	Yes	Yes	Yes	0	Government	Government	Government	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	Yes	No	No	0	No	No	No	Unprotected dug well	Unprotected dug well	10	60	30	1	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No	Pit latrine	10	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	With water and soap	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0	Hygiene/NFI Kits distribution	Bulo Garsey	1.0	0.5	Male	50	9	22.22222222222222
Kismayo	Male	35	Yes	No education	2	5	1	3	2	1	Married	IDP	70	Unemployed	Land cultivation	No	No	Yes	No	No	Yes	Yes	No	No	No	No	Yes	Yes	24.7105	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Received from AVSI	Received from AVSI	Received from AVSI	0	2.47105	2.47105	2.47105	0.0	Yes	Yes	Yes	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1	1	1	0	No	No	No	No	No	No	No	Yes	HAND SICKLE, SHOVEL & SPADE, AXE, PICKAXE and HOE	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	60	120	100	2	Yes	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	Pit latrine	15	Yes	No	No	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	To reduces spread/ transmission of disease	With water and soap	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	.	Hygiene/NFI Kits distribution	Istanbul	0.4	0.3333333333333333	Male	35	11	6.363636363636363
